# backend=neuralfoil
# airfoil=NACA2409
# model_size=small
# mach_model=incompressible_replicated
# generated_offline=true
airfoil,alpha_deg,reynolds,mach,cl,cd,cm,confidence
NACA2409,-90,1000,0,-0.05800125386,0.2171717725,0.002973850199,5.562684646e-308
NACA2409,-90,1000,0.1,-0.05800125386,0.2171717725,0.002973850199,5.562684646e-308
NACA2409,-90,1000,0.2,-0.05800125386,0.2171717725,0.002973850199,5.562684646e-308
NACA2409,-90,1000,0.3,-0.05800125386,0.2171717725,0.002973850199,5.562684646e-308
NACA2409,-90,1884.021406,0,-0.06696049965,0.19737258,0.003414152712,5.562684646e-308
NACA2409,-90,1884.021406,0.1,-0.06696049965,0.19737258,0.003414152712,5.562684646e-308
NACA2409,-90,1884.021406,0.2,-0.06696049965,0.19737258,0.003414152712,5.562684646e-308
NACA2409,-90,1884.021406,0.3,-0.06696049965,0.19737258,0.003414152712,5.562684646e-308
NACA2409,-90,3549.53666,0,-0.08131033068,0.1951552656,0.004623758415,5.562684646e-308
NACA2409,-90,3549.53666,0.1,-0.08131033068,0.1951552656,0.004623758415,5.562684646e-308
NACA2409,-90,3549.53666,0.2,-0.08131033068,0.1951552656,0.004623758415,5.562684646e-308
NACA2409,-90,3549.53666,0.3,-0.08131033068,0.1951552656,0.004623758415,5.562684646e-308
NACA2409,-90,6687.40305,0,-0.09197222413,0.228827694,0.003741849764,5.562684646e-308
NACA2409,-90,6687.40305,0.1,-0.09197222413,0.228827694,0.003741849764,5.562684646e-308
NACA2409,-90,6687.40305,0.2,-0.09197222413,0.228827694,0.003741849764,5.562684646e-308
NACA2409,-90,6687.40305,0.3,-0.09197222413,0.228827694,0.003741849764,5.562684646e-308
NACA2409,-90,12599.2105,0,-0.09116758443,0.3967057368,0.001840437734,5.562684646e-308
NACA2409,-90,12599.2105,0.1,-0.09116758443,0.3967057368,0.001840437734,5.562684646e-308
NACA2409,-90,12599.2105,0.2,-0.09116758443,0.3967057368,0.001840437734,5.562684646e-308
NACA2409,-90,12599.2105,0.3,-0.09116758443,0.3967057368,0.001840437734,5.562684646e-308
NACA2409,-90,23737.18228,0,-0.07561213581,0.8825844745,-0.001052105097,5.562684646e-308
NACA2409,-90,23737.18228,0.1,-0.07561213581,0.8825844745,-0.001052105097,5.562684646e-308
NACA2409,-90,23737.18228,0.2,-0.07561213581,0.8825844745,-0.001052105097,5.562684646e-308
NACA2409,-90,23737.18228,0.3,-0.07561213581,0.8825844745,-0.001052105097,5.562684646e-308
